controller_id,source_row,canonical_model_code,display_name_evidence,network_evidence,uid_or_address_evidence,lor_network,lor_uid_start_hex,lor_uid_count,lor_uid_end_hex,management_ip,for_what_evidence
1127,171,CTB04Dg3,ElfOnShelf-03,Reg,92,Regular,92,1,92,,
1128,172,CTB04Dg3,ElfOnShelf-04,Reg,93,Regular,93,1,93,,
1129,87,CTB32,CL-LollipopTrailerNetLights,Aux-C,62,Aux C,62,1,62,,Lolipops
1130,102,CTB32,SW-PotterPole,Aux-D,65,Aux D,65,1,65,,"Potters Pole/Signs is on Aux-D, UID-65"
1131,14,PixCon16,TR-MegaTreeRGBBall,E1.31,IP,,,,,10.10.5.11,10.10.5.11
1132,6,CTB04Dg3,FE-GateWrap-DS,Reg,5,Regular,05,1,05,,Making Spirits Bright
1133,57,CTB32,GW-HeatMisterPuff,Reg,C4,Regular,C4,1,C4,,
1134,89,Pixie4D,CL-RGBCandyCane-01,Aux-A,21-24,Aux A,21,4,24,,Candy Canes 1–4
1135,90,Pixie4D,CL-RGBCandyCane-01,Aux-A,21-24,Aux A,21,4,24,,Candy Canes 5–8
1136,91,Pixie4D,CL-RGBCandyCane-01,Aux-A,21-24,Aux A,21,4,24,,Candy Canes 9–12
1137,153,CTB32,TC-PrangeGiftBag,Aux-E,7C,Aux E,7C,1,7C,,prange and kingsbery and Bruce the spruce tree
1138,47,Pixie8D,WF-Tree-02,Aux-I,58-5f,Aux I,58,8,5F,,WF-Tree-02
1139,50,Pixie8D,WF-Tree-05,Aux-I,70-77,Aux I,70,8,77,,WF-Tree-05
1140,51,Pixie8D,WF-Tree-06,Aux-I,78-7F,Aux I,78,8,7F,,WF-Tree-06
1141,77,Pixie4D,CH-RGBCandyCane-01,Aux-N,21-24,Aux N,21,4,24,,Candy Canes 1–4
1142,78,Pixie4D,CH-RGBCandyCane-01,Aux-N,21-24,Aux N,21,4,24,,Candy Canes 5–8
1143,29,PixCon16,FT-MegaStar,E1.31,IP,,,,,10.10.5.15,10.10.5.15
1144,30,PixCon16,FT-MegaStar,E1.31,IP,,,,,10.10.5.16,10.10.5.16
1145,174,CTB32,HW-WaitTime15Min,Reg,9,Regular,09,1,09,,Group 5 09-02 New Controller 2026
